run_id,model,task,loss,seq_len,vocab_size,target_noise,d_model,n_layers,batch_size,steps,eval_every,seed,final_train_loss,final_train_acc,final_val_loss,final_val_acc,param_count,train_time_s
0,simple_nn(d_model=64),sorting,cross_entropy,32,32,0.1,64,1,256,50000,1000,42.0,0.8162575960159302,0.893310546875,0.1982351541519165,0.993896484375,,
1,simple_nn(d_model=64),sorting,cross_entropy,32,64,0.1,64,1,256,50000,1000,42.0,1.0678904056549072,0.86572265625,0.3424707055091858,0.9649658203125,,
2,simple_nn(d_model=64),sorting,cross_entropy,32,128,0.1,64,1,256,50000,1000,42.0,1.6145203113555908,0.685791015625,0.8550575375556946,0.751220703125,,
3,simple_nn(d_model=64),sorting,cross_entropy,32,256,0.1,64,1,256,50000,1000,42.0,2.352689266204834,0.4403076171875,1.5861588716506958,0.50732421875,,
4,simple_nn(d_model=64),sorting,cross_entropy,32,512,0.1,64,1,256,50000,1000,42.0,3.0864598751068115,0.2938232421875,2.349129438400269,0.3267822265625,,
5,simple_nn(d_model=64),sorting,cross_entropy,32,1024,0.1,64,1,256,50000,1000,42.0,3.8649394512176514,0.189697265625,3.1825883388519287,0.2098388671875,,
6,simple_nn(d_model=64),sorting,cross_entropy,32,2048,0.1,64,1,256,50000,1000,42.0,4.707520484924316,0.110595703125,4.00122594833374,0.1259765625,,
7,simple_nn(d_model=64),sorting,cross_entropy,32,4096,0.1,64,1,256,50000,1000,42.0,5.523029327392578,0.0692138671875,4.913938999176025,0.0767822265625,,
8,simple_nn(d_model=64),sorting,cross_entropy,64,32,0.1,64,1,256,50000,1000,42.0,0.8983770608901978,0.87713623046875,0.2667664289474487,0.9820556640625,,
9,simple_nn(d_model=64),sorting,cross_entropy,64,64,0.1,64,1,256,50000,1000,42.0,1.200427770614624,0.8358154296875,0.4627261757850647,0.93267822265625,,
10,simple_nn(d_model=64),sorting,cross_entropy,64,128,0.1,64,1,256,50000,1000,42.0,1.8256393671035769,0.58294677734375,1.0777921676635742,0.652587890625,,
11,simple_nn(d_model=64),sorting,cross_entropy,64,256,0.1,64,1,256,50000,1000,42.0,2.556180953979492,0.33929443359375,1.8405084609985352,0.36492919921875,,
12,simple_nn(d_model=64),sorting,cross_entropy,64,512,0.1,64,1,256,50000,1000,42.0,3.3655357360839844,0.1776123046875,2.673211574554444,0.1943359375,,
13,simple_nn(d_model=64),sorting,cross_entropy,64,1024,0.1,64,1,256,50000,1000,42.0,4.01274299621582,0.12420654296875,3.2974560260772705,0.14154052734375,,
14,simple_nn(d_model=64),sorting,cross_entropy,64,2048,0.1,64,1,256,50000,1000,42.0,4.756116390228272,0.0716552734375,4.089744091033936,0.0819091796875,,
15,simple_nn(d_model=64),sorting,cross_entropy,64,4096,0.1,64,1,256,50000,1000,42.0,5.589633464813232,0.039794921875,4.957900524139404,0.0450439453125,,
16,simple_nn(d_model=64),sorting,cross_entropy,128,32,0.1,64,1,256,50000,1000,42.0,0.8682749271392822,0.870819091796875,0.2863140702247619,0.966400146484375,,
17,simple_nn(d_model=64),sorting,cross_entropy,128,64,0.1,64,1,256,50000,1000,42.0,1.2997496128082275,0.704498291015625,0.6619599461555481,0.780059814453125,,
